pubDate,title,description
2025-12-11 08:02:00,2025 가장 많이 언급된 화제의 키워드(5),K-POP DEMON HUNTERS K-팝과 우리나라 전통 무속이 결합한 넷플릭스 애니메이션 &lt;케이팝 데몬 헌터스&gt;(&lt;케데헌... ‘소다 팝 챌린지’는 물론 주제곡 ‘골든’ 역시 테일러 스위프트의 거센 추격을 따돌리며 지구 곳곳에... 
2025-12-03 13:28:00,"유튜브 2025 연말 결산, 최고 인기곡 케데헌 ‘Golden’..크리에이터 1위...","&quot;K-pop Demon Hunters&quot; stands out in the list of most popular songs, calculated based on domestic YouTube views for songs released in 2025 or that experienced significant growth year-over-year. The soundtrack's three tracks... "
2025-10-16 16:53:00,“서울의 핵심 정체성은 ‘예술의 영향력’”,"‘케이팝 데몬 헌터스’(케데헌)가 또다시 세계인의 마음을 사로잡고 있다.... faded, K-pop Demon Hunters (“Kedeheon”) once again captured the hearts of global viewers. The show’s filming... "
2025-10-10 00:00:00,"트와이스, 10년째 '우상향 궤적'…&quot;K팝 걸그룹 '진화 방식'의 산증인&quot;","케이팝 데몬 헌터스(KPop Demon Hunters·케데헌)'는 그래서 트와이스의 서사이기도 하다. 이 애니메이션은 K-팝... 그리고 2018년, 트와이스가 말 그대로 날아다녔던 시기의 '예스 오어 예스(YES or YES)'(2018)와 '서머퀸'이라는... "
2025-09-29 15:16:00,"'케데헌' 광풍에 안효섭, 美 CBS 뉴스 생중계 출연…&quot;이제는 월드스타&quot;",애니메이션계의 새로운 역사를 쓴 영화 '케이팝 데몬 헌터스(KPop Demon Hunters)'가 넷플릭스... 번도 상상해 본 적 없어요. A. No absolutely not. I've never imagined K-contents or movie to be this big around the world.
2025-09-20 11:42:00,"케데헌, 한국 문화와 치유 관광의 새로운 가능성...","Kedeheon uses shamanism, a traditional Korean healing method, as the deeper meaning of the story, or signified. And to express this meaning, K-pop idols' appearances and performances were used as symbols of demon hunters, Huntrix. Simply... "
2025-09-05 07:58:00,세계를 들끓게 하는 '케이팝 데몬 헌터스'와 OST 주제곡 '골든',애니메이션 영화 '케이팝 데몬 헌터스(이하 케데헌)'가 넷플릭스 최고 흥행작으로... It is assumed that there may be errors in the English translation.&gt; &quot;K-Pop Demon Hunters&quot; and its OST theme... 
2025-08-19 06:43:00,Korea needs a better IP industry strategy (KOR),Netflix’s animated feature &quot;K-Pop Demon Hunters&quot; (hereafter KDH) is a textbook example of the powerful... ‘케이팝 데몬 헌터스’(이하 케데헌)는 OTT 산업과 음악 산업이 맞물리며 초강력... 
